date,week,year,month,Lane,shipment,Holiday Flag,Quarter,Encoded_Lane,shipment_transformed,Previous Week Shipment,Previous Year Shipment,Previous 2Week Shipment,Moving Average Shipment,Predicted_shipment
2023-12-11,50,2023,12,DE05_29237315,1,0,4,0,0.6931471805599453,1,0,2,0,2
2023-12-18,51,2023,12,DE05_29237315,0,0,4,0,0.0,1,0,1,1,1
2023-12-04,49,2023,12,DE06_29142961,1,0,4,0,0.6931471805599453,0,0,1,1,1
2023-12-11,50,2023,12,DE06_29142961,1,0,4,0,0.6931471805599453,1,0,0,1,1
2023-12-18,51,2023,12,DE06_29142961,1,0,4,0,0.6931471805599453,1,0,1,1,1
2023-12-25,52,2023,12,DE06_29142961,1,1,4,0,0.6931471805599453,1,0,1,1,1
2023-12-11,50,2023,12,DE06_29143103,2,0,4,0,1.0986122886681098,1,0,1,0,2
2023-12-18,51,2023,12,DE06_29143103,1,0,4,0,0.6931471805599453,2,0,1,0,1
2023-12-25,52,2023,12,DE06_29143103,1,1,4,0,0.6931471805599453,1,0,2,0,1
2023-12-04,49,2023,12,DE06_29143103,0,0,4,0,0.0,1,0,1,1,1
2023-12-18,51,2023,12,DE06_29143128,2,0,4,0,1.0986122886681098,0,0,1,1,2
2023-12-04,49,2023,12,DE06_29143128,1,0,4,0,0.6931471805599453,2,0,0,1,1
2023-12-11,50,2023,12,DE06_29143128,1,0,4,0,0.6931471805599453,1,0,2,1,2
2023-12-25,52,2023,12,DE06_29143128,0,1,4,0,0.0,1,0,1,1,1
2023-12-11,50,2023,12,DE06_40106043,3,0,4,0,1.3862943611198906,0,0,1,0,2
2023-12-18,51,2023,12,DE06_40106043,2,0,4,0,1.0986122886681098,3,0,0,0,2
2023-12-25,52,2023,12,DE06_40106043,2,1,4,0,1.0986122886681098,2,0,3,0,2
2023-12-04,49,2023,12,DE06_40106043,0,0,4,0,0.0,2,0,2,1,1
2023-12-18,51,2023,12,DE08_29143191,3,0,4,0,1.3862943611198906,0,0,2,1,2
2023-12-04,49,2023,12,DE08_29143191,1,0,4,0,0.6931471805599453,3,0,0,1,1
2023-12-11,50,2023,12,DE08_29143191,1,0,4,0,0.6931471805599453,1,0,3,1,1
2023-12-25,52,2023,12,DE08_29143191,1,1,4,0,0.6931471805599453,1,0,1,1,1
