date,week,year,month,Lane,shipment,Holiday Flag,Quarter,Previous Week Shipment,Previous Year Shipment,Moving Average Shipment,Encoded_Lane,shipment_standardized,shipment_transformed,Predicted_shipment
2023-12-18,51,2023,12,DE06_29143103,1,0,4,2,1,0,0,-0.5325105130400909,0.0,1
2023-12-25,52,2023,12,DE06_29143103,1,1,4,1,2,0,0,-0.5325105130400909,0.0,1
2023-12-04,49,2023,12,DE06_29143103,0,0,4,1,1,0,0,-0.9581914765771351,-0.4,0
2023-12-18,51,2023,12,DE06_29143128,2,0,4,0,1,0,0,-0.10682954950304675,1.8627416997969521,2
2023-12-04,49,2023,12,DE06_29143128,1,0,4,2,1,0,0,-0.5325105130400909,0.0,1
2023-12-11,50,2023,12,DE06_29143128,1,0,4,1,3,0,0,-0.5325105130400909,0.0,1
2023-12-25,52,2023,12,DE06_29143128,0,1,4,1,1,0,0,-0.9581914765771351,-0.4,0
2023-12-11,50,2023,12,DE06_40106043,3,0,4,0,0,0,0,0.3188514140339974,5.8353829072479595,3
2023-12-18,51,2023,12,DE06_40106043,2,0,4,3,0,0,0,-0.10682954950304675,1.8627416997969521,2
2023-12-25,52,2023,12,DE06_40106043,2,1,4,2,0,0,0,-0.10682954950304675,1.8627416997969521,2
2023-12-04,49,2023,12,DE06_40106043,0,0,4,2,0,0,0,-0.9581914765771351,-0.4,0
2023-12-18,51,2023,12,DE08_29143191,3,0,4,0,2,0,0,0.3188514140339974,5.8353829072479595,3
2023-12-04,49,2023,12,DE08_29143191,1,0,4,3,1,0,0,-0.5325105130400909,0.0,1
2023-12-11,50,2023,12,DE08_29143191,1,0,4,1,0,0,0,-0.5325105130400909,0.0,1
2023-12-25,52,2023,12,DE08_29143191,1,1,4,1,0,0,0,-0.5325105130400909,0.0,1
